provider,borough,address
Cabrini Immigrant Services of New York City Inc,Manhattan,"701 Ft. Washington Ave, New York NY 10040"
Catholic Charities Community Services Archdiocese of New York,Manhattan,"1011 First Avenue, New York NY 10022"
Chai Lifeline Inc,Manhattan,"151 West 30th Street, New York NY 10001"
Chinese American Planning Council Inc,Manhattan,"150 Elizabeth Street, New York NY 10012"
Church of the Holy Apostles,Manhattan,"296 9th Avenue, New York NY 10001"
City Harvest Inc,Manhattan,"150 52nd street, New York NY 11232"
CityMeals on Wheels,Manhattan,"355 Lexington Avenue, New York NY 10017"
Coalition for the Homeless Inc,Manhattan,"129 Fulton Street, New York NY 10038"
Community Healthcare Network Inc,Manhattan,"60 Madison Avenue, New York NY 10010"
Community League of the Heights Inc,Manhattan,"500 West 159 Street, New York NY 10032"
Dominican Women's Development Center Inc,Manhattan,"519 W. 189th Street, New York NY 10040"
Evangelical Lutheran Church of the Advent,Manhattan,"2504 Broadway, New York NY 10025"
Father's Heart Ministries,Manhattan,"543-545 East 11th Street, New York NY 10009"
God's Love We Deliver Inc,Manhattan,"166 Avenue of the Americas, New York NY 10013"
Harvest Home Farmer's Market Inc,Manhattan,"18 west 126th Street, New York NY 10027"
Henry Street Settlement,Manhattan,"265 Henry Street, New York NY 10002"
Hetrick-Martin Institute Inc,Manhattan,"2 Astor Place, New York NY 10003"
Hispanic Federation Inc,Manhattan,"55 Exchange Place, New York NY 10005"
Lower East Side Girls Club of New York Inc,Manhattan,"101 Avenue D, New York NY 10009"
Metropolitan College of New York,Manhattan,"60 West Street, New York NY 10006"
Nazareth Housing Inc,Manhattan,"519 East 11th St., New York NY 10009"
New Alternatives for Children Inc,Manhattan,"37 West 26th Street, New York NY 10010"
New York Common Pantry Inc,Manhattan,"8 East 109th Street, New York NY 10029"
NY Community Fridge Corp,Manhattan,"1760 2nd Avenue, New York NY 10128"
Palante Harlem Inc,Manhattan,"1411 Amsterdam Avenue, New York NY 10027"
Phipps Neighborhoods Inc,Manhattan,"902 Broadway, New York NY 10010"
Rauschenbusch Metro Ministries Inc,Manhattan,"410 W. 40th Street, New York NY 10018"
Rethink Food NYC Inc,Manhattan,"75 Broad St, New York NY 10004"
Trinity's Services and Food for the Homeless Inc,Manhattan,"602 E. 9th Street, New York NY 10009"
United Jewish Council of the East Side Inc,Manhattan,"465 Grand Street, New York NY 10002"
Vision Urbana Inc,Manhattan,"207-209 East Broadway, New York NY 10002"
Volunteers of America Greater New York Inc,Manhattan,"135 W. 50th Street, New York NY 10020"
Welcome to Chinatown Inc,Manhattan,"115 Bowery, New York NY 10002"
West Side Center for Community Life Inc,Manhattan,"263 West 86th Street, New York NY 10024"
Xavier Mission Inc,Manhattan,"55 West 15th St., New York NY 10011"
Young Men's Christian Association of Greater New York,Manhattan,"5 W. 63rd Street, New York NY 10023"
Asian Americans For Equality Inc,Manhattan,"108 Norfolk Street, New York NY 10002"
House of Good Deeds Inc,Manhattan,"1 River Place #1406, New York NY 10036"
Uplift NYC Inc,Manhattan,"73 Elwood street suite 1B, New York NY 10040"
Catholic Charities of Staten Island,Staten Island,"6581 Hylan Boulevard, Staten Island NY 10309"
Community Health Action of Staten Island Inc,Staten Island,"56 Bay Street, Staten Island NY 10301"
Dr. Theodore A. Atlas Foundation Inc,Staten Island,"543 Cary Avenue, Staten Island NY 10310"
Jewish Community Center of Staten Island Inc,Staten Island,"1466 Manor Road, Staten Island NY 10314"
Meals on Wheels of Staten Island Inc,Staten Island,"304 Port Richmond Avenue, Staten Island NY 10302"
Staten Island Community Job Center Inc,Staten Island,"774 Port Richmond Avenue, Staten Island NY 10302"
Tomchei Shabbos of Staten Island,Staten Island,"22 Niles Place, Staten Island NY 10314"
University of Notre Dame Alumni Club of Staten Island,Staten Island,"64 Bloomingdale Road, Staten Island NY 10309"
